Flow ID,Vessel,Vessel IMO,Load Country,Load Port,Departure Date,Discharge Country,Discharge Port,Arrival Date,Product,Grade,Volume,Unit,Load Country/Sub-Country,Load Region,Load State,Load Berth,Load Zone,Load Date From,Discharge Country/Sub-Country,Discharge Region,Discharge State,Discharge Berth,Discharge Zone,Arrival Date To,Buyer/Receiver,Issuer,Sender,Awardee,Consignee,Charterer,Buy/Sell,Price,Price Basis,Vessel Ric,Freight,Benchmark,Closing Date,Validity Date,Contract Basis,Terms,Import/Export,Status,Source Grade,Country of Origin,Last Updated
2977242,KRITI BREEZE,9116943,Egypt,Sidi Kerir,31.08.17,Greece,Agioi Theodoroi,13.09.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",30.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",13.09.17,,,,,,,,,,C}KS7309473863,,,,,,,,Vessel Underway,,,12.09.17
2845200,WHITE MOON,9588158,Iraq,Basrah,24.08.17,Greece,Agioi Theodoroi,08.09.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 3,Middle East,22.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",09.09.17,,,,,,AVIN OIL,,,,C}KS7309511788,w25,,,,,,,Vessel Discharged,,Iraq,09.09.17
2978212,PETALIDI,9529475,Turkey,Ceyhan,30.08.17,Greece,Agioi Theodoroi,01.09.17,Crude Oil,Kirkuk,957441.61,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal North Jetty 1,"Mediterranean, North Africa",29.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",02.09.17,,,,,,,,,,C}KS7309507119,,,,,,,,Vessel Discharged,,Iraq,02.09.17
2824572,KAMARI,9123075,Iraq,Basrah,08.07.17,Greece,Agioi Theodoroi,01.09.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,07.07.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",01.09.17,,,,,,AVIN OIL,,,,C}KS7309474293,,,,,,,,Vessel Discharged,,Iraq,02.09.17
2942145,AEGEAN POWER,9338905,Egypt,Sidi Kerir,27.08.17,Greece,Agioi Theodoroi,30.08.17,Crude Oil,Crude Oil,451378.16,BARRELS,Egypt,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",26.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",30.08.17,,,,,,,,,,C}KA7309491037,,,,,,,,Vessel Discharged,,,30.08.17
2936702,VALTAMED,9292840,Turkey,Ceyhan,23.08.17,Greece,Agioi Theodoroi,26.08.17,Crude Oil,Kirkuk,318828.06,BARRELS,Turkey,"Europe, Middle East, Africa",,Botas Ceyhan Oil Terminal North Jetty 1,"Mediterranean, North Africa",23.08.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",27.08.17,,,,,,,,,,C}KS7309487070,,,,,,,,Vessel Discharged,,Iraq,03.09.17
2853883,ERVIKEN,9274812,Iraq,Basrah,07.08.17,Greece,Agioi Theodoroi,25.08.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,,Middle East,04.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",26.08.17,,,,,,AVIN OIL,,,,C}KS7309485621,w20,,,,,,,Vessel Discharged,,Iraq,27.08.17
2855798,CE NIRIIS,9144794,Egypt,Marsa El Hamra (El Alamein),11.08.17,Greece,Agioi Theodoroi,13.08.17,Crude Oil,Western Desert,440112.09,BARRELS,Egypt,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",09.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",14.08.17,,,,,,,,,,C}KA7309476006,,,,,,,,Vessel Discharged,,,14.08.17
2853734,BALTIC FREEDOM,9327396,Egypt,STS Port Said OPL (test),06.08.17,Greece,Agioi Theodoroi,09.08.17,Crude Oil,Crude Oil,228624.66,BARRELS,Egypt,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",31.07.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",09.08.17,,,,,,,,,,C}KM7309490073,,,,,,,,Vessel Discharged,,,10.08.17
2850099,KRITI BREEZE,9116943,Egypt,Sidi Kerir,03.08.17,Greece,Agioi Theodoroi,08.08.17,Crude Oil,Crude Oil,980100.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 6 (Sidi Kerir),"Mediterranean, North Africa",02.08.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",08.08.17,,,,,,AVIN OIL,,,,C}KS7309473863,,,,,,,,Vessel Discharged,,,10.08.17
